name,pack_size,price_rs,mrp_rs,discount_text,out_of_stock,img_url,product_url,raw_price_block
Pomegranate Peeled,175 g,300,10,"ADD
₹77
₹100
₹23
OFF
Pomegranate Peeled
175 g",no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pomegranate-peeled/pvid/7cb4b263-9029-42cb-834a-0cd2f16379fd,₹77 ₹100
Watermelon Slice,250 g,50,50,₹12 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/watermelon-slice/pvid/c266bd53-26f6-4ddf-8bd7-a3fbc605cb4d,₹38 ₹50
Buy Fresh Papaya - Cut (200 g) Online in India at Best Price,200 g,59,50,₹14 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/papaya-cut/pvid/b64f96b8-d2e3-49b4-85a7-01da1921b6d4,₹34 ₹44
Pear Green Imported,2 pcs,132,300,₹33 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pear-green-imported/pvid/21f72e96-f33d-4ea8-9d26-de669be18ba6,₹99 ₹132
Coconut,1 pc,73,50,₹16 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/coconut/pvid/707ae90d-e115-40e9-96b2-85b43471d33c,₹57 ₹73
Custard Apple (Sitafal) Semi Ripe,2 pcs,107,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/custard-apple-sitafal-semi-ripe/pvid/156fecc5-f2a0-4b51-8a4e-bceaccf2264a,₹62 ₹79
Avocado Hass Imported,1 pc,159,50,₹64 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/avocado-hass-imported/pvid/4db7d95b-1bc9-429a-9456-f4393526796e,₹95 ₹159
Dragon Fruit Imported,1 pc,84,50,₹17 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/dragon-fruit-imported/pvid/5c81bb1c-4eda-4ac6-9467-dbdd8d077796,₹69 ₹94
"Pineapple Chunks, 200 g",200 g,95,50,₹30 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pineapple-chunks-200-g/pvid/c04efb2b-363d-4350-8d6a-a6b4cefcdbd4,₹38 ₹50
Pineapple Slice,200 g,105,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pineapple-slice/pvid/97617ef3-44e8-4c54-9599-a01e0a905884,₹45 ₹59
Kiwi Green,3 pcs,113,50,₹24 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/kiwi-green/pvid/862df01f-c0d6-4bc9-9731-347885d2113d,₹89 ₹113
Grapes Red Globe Imported,250 g,134,300,₹30 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/grapes-red-globe-imported/pvid/0371e45f-a968-4177-8da6-f8351d246cbd,₹104 ₹134
Snacky Avocado Regular,1 piece,140,300,₹32 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/snacky-avocado-regular/pvid/41bdd706-3d49-4c67-abc2-364679e3a16b,₹108 ₹139
Apple Royal Gala Imported,2 pcs,161,300,₹59 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/apple-royal-gala-imported/pvid/55835f1d-aaa2-4331-8279-b3adf07dca3d,₹102 ₹161
Guava Indian,500 g,82,50,₹28 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/guava-indian/pvid/595a90c5-7cc7-4e57-aa3b-9c416e3f588f,₹54 ₹79
Mosambi,500 g,50,50,₹19 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/mosambi/pvid/86c59022-7b8d-4d66-b02c-7729518ef4e5,₹31 ₹50
Coconut Cut,100 g,39,50,₹9 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/coconut-cut/pvid/0bd2c8f7-6dfb-4af0-a2e0-2f5fb707518e,₹30 ₹39
Papaya,1 pc,79,50,₹33 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/papaya/pvid/9d6ab15c-70e5-410f-9d4b-82be81494244,₹46 ₹80
Apple Royal Gala Imported,4 pcs,315,10,₹65 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/apple-royal-gala-imported/pvid/e47494e2-dd0c-456e-9489-154b729c1716,₹250 ₹315
Grapes Bangalore Blue,500 g,64,50,₹17 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/grapes-bangalore-blue/pvid/27637547-d546-4c86-b13a-040428062fd5,₹47 ₹64
Tender Coconut Orange(King Coconut),1 pc,99,50,₹31 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/tender-coconut-orangeking-coconut/pvid/7f925991-b364-4024-805b-715302b21a92,₹68 ₹99
Pomegranate,4 pcs,239,300,₹50 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pomegranate/pvid/085b06eb-cf40-4922-acee-ad29826410f5,₹190 ₹239
Pear Beauty,2 pcs,171,300,₹36 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pear-beauty/pvid/1f1f229a-070a-4765-813e-8b9c6e588f40,₹135 ₹171
Banana Robusta,2 pcs,23,50,₹10 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/banana-robusta/pvid/ecbe9d0c-e79b-4348-af0a-12b14c090ad7,₹13 ₹24
Coconut Pooja,1 pc,63,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/coconut-pooja/pvid/747bca2c-284c-41b9-88e0-a556e2bd086a,₹40 ₹63
Watermelon Kiran(Tarbooj),1 pc,165,50,₹69 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/watermelon-kirantarbooj/pvid/360f5333-15c1-468d-9afd-8cd40aad64d7,₹96 ₹165
Tender Coconut,1 pc,87,50,₹19 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/tender-coconut/pvid/b9fbf0e7-de2d-4a89-ae74-b12a7c0ab236,₹70 ₹88
Banana Elaichi / Yelakki,500 g,67,50,₹17 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/banana-elaichi-yelakki/pvid/db471557-f745-4574-9e82-1916a88d9e6b,₹50 ₹67
Guava Thai,1 pc,61,50,₹13 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/guava-thai/pvid/6ed88f72-38da-433a-8506-d601f4d5916d,₹48 ₹61
Baby Orange (Mandarin),500 g,219,300,₹59 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/baby-orange-mandarin/pvid/6f416513-2be6-4c46-9124-a217a83eb96a,₹160 ₹219
Dragon Fruit (Indian),1 piece,99,50,₹30 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/dragon-fruit-indian/pvid/205d975e-3b8d-4beb-82b2-b13262ab0cd2,₹69 ₹99
Banana Robusta,4 pcs,37,50,₹11 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/banana-robusta/pvid/436c0025-de54-4748-a189-79e292f26071,₹26 ₹39
Pomegranate Peeled,175 g,300,10,,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pomegranate-peeled/pvid/7cb4b263-9029-42cb-834a-0cd2f16379fd,
Watermelon Slice,250 g,50,50,₹12 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/watermelon-slice/pvid/c266bd53-26f6-4ddf-8bd7-a3fbc605cb4d,
Buy Fresh Papaya - Cut (200 g) Online in India at Best Price,200 g,59,50,₹14 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/papaya-cut/pvid/b64f96b8-d2e3-49b4-85a7-01da1921b6d4,
Pear Green Imported,2 pcs,132,300,₹33 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pear-green-imported/pvid/21f72e96-f33d-4ea8-9d26-de669be18ba6,
Coconut,1 pc,73,50,₹16 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/coconut/pvid/707ae90d-e115-40e9-96b2-85b43471d33c,
Custard Apple (Sitafal) Semi Ripe,2 pcs,107,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/custard-apple-sitafal-semi-ripe/pvid/156fecc5-f2a0-4b51-8a4e-bceaccf2264a,
,,,,,,,https://www.zeptonow.com/pn/avocado-hass-imported/pvid/4db7d95b-1bc9-429a-9456-f4393526796e,
Buy Dragon Fruit Imported Online - Price @ ₹67 | Instant Delivery | Zepto,,,,,no,"https://cdn.zeptonow.com/production/ik-seo/tr:w-1000,ar-3000-3000,pr-true,f-avif,q-80/cms/product_variant/10d8ab92-e949-49a1-87ef-421d9562e412/10d8ab92-e949-49a1-87ef-421d9562e412-jpeg.jpeg",https://www.zeptonow.com/pn/dragon-fruit-imported/pvid/5c81bb1c-4eda-4ac6-9467-dbdd8d077796,
"Pineapple Chunks, 200 g",200 g,95,50,₹30 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pineapple-chunks-200-g/pvid/c04efb2b-363d-4350-8d6a-a6b4cefcdbd4,
Pineapple Slice,200 g,105,50,₹23 OFF,no,https://cdn.zeptonow.com/production/inventory/banner/c9ea0974-855e-4681-b0e1-437a76ebe511.svg,https://www.zeptonow.com/pn/pineapple-slice/pvid/97617ef3-44e8-4c54-9599-a01e0a905884,
