categories,swiggy,jiomart,zepto
grocery and kitchen ,,,
,,,
Fresh vegetables,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/fruits-vegetables/basic-vegetables/28981,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208
Fresh Fruits,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adbfc9c51cb000011dcb21&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,https://www.zeptonow.com/cn/fruits-vegetables/fresh-fruits/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/09e63c15-e5f7-4712-9ff8-513250b79942
,,,
"Dairy, Bread and Eggs",,,
milk,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99dcc62ab1200019a75c1&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/dairy-bakery/milk-milk-products/29011,https://www.zeptonow.com/cn/dairy-bread-eggs/milk/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/22964a2b-0439-4236-9950-0d71b532b243?
cheese,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/dairy-bakery/cheese-paneer-tofu/29010,https://www.zeptonow.com/cn/dairy-bread-eggs/cheese/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/f594b28a-4775-48ac-8840-b9030229ff87
,,,
Masalas,,,
Whole Spices,https://www.swiggy.com/instamart/category-listing?categoryName=Masalas&custom_back=true&filterId=678f8d686d33590001d284d2&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/cooking-essentials/masalas-spices-mukhwas/28990,https://www.zeptonow.com/cn/masala-dry-fruits-more/whole-spices-seasonings/cid/0c2ccf87-e32c-4438-9560-8d9488fc73e0/scid/bd6ea174-5b9a-4071-aae1-a7807615351e?
Sugar and Jaggery,https://www.swiggy.com/instamart/category-listing?categoryName=Masalas&custom_back=true&filterId=678f8d4b6d33590001d284d1&storeId=1135721&taxonomyType=Speciality+taxonomy+,https://www.jiomart.com/c/groceries/cooking-essentials/salt-sugar-jaggery/28991,https://www.zeptonow.com/cn/masala-dry-fruits-more/salt-sugar-jaggery/cid/0c2ccf87-e32c-4438-9560-8d9488fc73e0/scid/b5826992-5cfc-4554-8075-a3f33709ddf2?
,,,
Biscuits and Cakes,,,
Cookies,https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&custom_back=true&filterId=67a8d30dc0d80a0001b0cd2f&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998,https://www.zeptonow.com/cn/biscuits/cookies/cid/2552acf2-2f77-4714-adc8-e505de3985db/scid/7b07c0b3-d0c6-4ec0-995a-35c17adce0d8?
Wafers,https://www.swiggy.com/instamart/category-listing?categoryName=Biscuits+and+Cakes&custom_back=true&filterId=67a8d87bc0d80a0001b0cd32&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chips-namkeens/29000,https://www.zeptonow.com/cn/biscuits/wafers/cid/2552acf2-2f77-4714-adc8-e505de3985db/scid/f9502427-0360-4926-9db3-94a65d04d9ed?
,,,
daal and rice ,,,
Basmati Rice,https://www.swiggy.com/instamart/category-listing?categoryName=Atta%2C+Rice+and+Dal&custom_back=true&filterId=67adac64e76f100001151f91&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/cooking-essentials/rice/28987,https://www.zeptonow.com/cn/atta-rice-oil-dals/rice-more/cid/2f7190d0-7c40-458b-b450-9a1006db3d95/scid/9798b797-0db0-4b04-b198-31b0a5849318?
Atta,https://www.swiggy.com/instamart/category-listing?categoryName=Atta%2C+Rice+and+Dal&custom_back=true&filterId=67adac42adfce9000164b2fe&storeId=1135721&taxonomyType=Speciality+taxonomy+1,https://www.jiomart.com/c/groceries/cooking-essentials/atta-flours-sooji/28985,https://www.zeptonow.com/cn/atta-rice-oil-dals/atta-other-flours/cid/2f7190d0-7c40-458b-b450-9a1006db3d95/scid/9a9ca257-b277-4b02-9e12-cf637565b8f1?
,,,
cold drinks ,,,
Soft Drinks,https://www.swiggy.com/instamart/category-listing?categoryName=Cold+Drinks+and+Juices&custom_back=true&taxonomyType=Speciality+taxonomy+3,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/drinks-juices/29003,https://www.zeptonow.com/cn/paan-corner/soft-drink/cid/cd50825e-baf8-47fe-9abc-ed9556122a9a/scid/065d707b-0752-4432-991b-d2cb22f8affb?
