Category Name,Category URL
Groceries,https://www.jiomart.com/c/groceries/2
"Biscuits, Drinks & Packaged Foods",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/28997
Chips & Namkeens,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chips-namkeens/29000
Biscuits & Cookies,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/biscuits-cookies/28998
Chocolates & Candies,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/chocolates-candies/29001
Indian Sweets,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/indian-sweets/29004
Drinks & Juices,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/drinks-juices/29003
Breakfast Cereals,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/breakfast-cereals/28999
"Noodles, Pasta & Vermicelli",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/noodles-pasta-vermicelli/29005
Ready To Cook & Eat,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/ready-to-cook-eat/29007
"Spread, Sauces & Ketchup",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/spread-sauces-ketchup/29008
"Pickles, Chutney & Flavouring",https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/pickles-chutney-flavouring/29006
Tea,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/tea/29661
Coffee,https://www.jiomart.com/c/groceries/biscuits-drinks-packaged-foods/coffee/29662
Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/219
Fresh Fruits,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220
Basic Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/basic-vegetables/28981
"Roots, Herbs & Others",https://www.jiomart.com/c/groceries/fruits-vegetables/roots-herbs-others/28982
Premium Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/premium-fruits-vegetables/28983
Cooking Essentials,https://www.jiomart.com/c/groceries/cooking-essentials/28984
"Atta, Flours & Sooji",https://www.jiomart.com/c/groceries/cooking-essentials/atta-flours-sooji/28985
Dals & Pulses,https://www.jiomart.com/c/groceries/cooking-essentials/dals-pulses/28986
Rice,https://www.jiomart.com/c/groceries/cooking-essentials/rice/28987
"Sabudana, Poha & Murmura",https://www.jiomart.com/c/groceries/cooking-essentials/sabudana-poha-murmura/28988
Edible Oils,https://www.jiomart.com/c/groceries/cooking-essentials/edible-oils/28989
"Masala, Spices & Mukhwas",https://www.jiomart.com/c/groceries/cooking-essentials/masalas-spices-mukhwas/28990
"Salt, Sugar & Jaggery",https://www.jiomart.com/c/groceries/cooking-essentials/salt-sugar-jaggery/28991
Wheat & Soya,https://www.jiomart.com/c/groceries/cooking-essentials/wheat-soya/28992
Ghee,https://www.jiomart.com/c/groceries/cooking-essentials/ghee/28993
Dry Fruits & Nuts,https://www.jiomart.com/c/groceries/cooking-essentials/dry-fruits-nuts/28994
Millets & Other Grains,https://www.jiomart.com/c/groceries/cooking-essentials/millets-other-grains/28995
Combo Offers,https://www.jiomart.com/c/groceries/cooking-essentials/combo-offers/28996
Dairy & Bakery,https://www.jiomart.com/c/groceries/dairy-bakery/61
Milk & Milk Products,https://www.jiomart.com/c/groceries/dairy-bakery/milk-milk-products/29011
"Cheese, Paneer & Tofu",https://www.jiomart.com/c/groceries/dairy-bakery/cheese-paneer-tofu/29010
Batter & Chutney,https://www.jiomart.com/c/groceries/dairy-bakery/batter-chutney/407
Toast & Khari,https://www.jiomart.com/c/groceries/dairy-bakery/toast-khari/102
Cakes & Muffins,https://www.jiomart.com/c/groceries/dairy-bakery/cakes-muffins/125
Breads & Buns,https://www.jiomart.com/c/groceries/dairy-bakery/breads-and-buns/267
Baked Cookies,https://www.jiomart.com/c/groceries/dairy-bakery/baked-cookies/273
Bakery Snacks,https://www.jiomart.com/c/groceries/dairy-bakery/bakery-snacks/281
Personal Care,https://www.jiomart.com/c/groceries/personal-care/91
Hair Care,https://www.jiomart.com/c/groceries/personal-care/hair-care/92
Bath & Hand Wash,https://www.jiomart.com/c/groceries/personal-care/bath-hand-wash/119
Oral Care,https://www.jiomart.com/c/groceries/personal-care/oral-care/132
Skin Care,https://www.jiomart.com/c/groceries/personal-care/skin-care/122
Feminine Hygiene,https://www.jiomart.com/c/groceries/personal-care/feminine-hygiene/134
Men's Grooming,https://www.jiomart.com/c/groceries/personal-care/men-s-grooming/163
Deo & Fragrances,https://www.jiomart.com/c/groceries/personal-care/deo-fragrances/172
Health & Wellness,https://www.jiomart.com/c/groceries/personal-care/health-wellness/165
Beauty,https://www.jiomart.com/c/groceries/beauty/6607
Face,https://www.jiomart.com/c/groceries/beauty/face/29989
Nails & Lips,https://www.jiomart.com/c/groceries/beauty/nails-lips/29991
Eyes,https://www.jiomart.com/c/groceries/beauty/eyes/30045
Beauty Accessories,https://www.jiomart.com/c/groceries/beauty/beauty-accessories/30011
Mom & Baby Care,https://www.jiomart.com/c/groceries/mom-baby-care/2551
Diapers & Wipes,https://www.jiomart.com/c/groceries/mom-baby-care/diapers-wipes/2564
"Bath, Hygiene & Grooming",https://www.jiomart.com/c/groceries/mom-baby-care/baby-bath-hygiene/2562
Food & Feeding,https://www.jiomart.com/c/groceries/mom-baby-care/food-feeding/30013
"Bedding, Toys & Accessories",https://www.jiomart.com/c/groceries/mom-baby-care/bedding-toys-accessories/30012
Home Care,https://www.jiomart.com/c/groceries/home-care/36
Detergents & Cleaners,https://www.jiomart.com/c/groceries/home-care/detergents-cleaners/29119
Dishwash,https://www.jiomart.com/c/groceries/home-care/dishwash/148
Fresheners & Repellents,https://www.jiomart.com/c/groceries/home-care/fresheners-repellents/65
Bathroom & Laundry Accessories,https://www.jiomart.com/c/groceries/home-care/bathroom-laundry-accessories/207
Pooja Needs,https://www.jiomart.com/c/groceries/home-care/pooja-needs/156
Basic Electricals,https://www.jiomart.com/c/groceries/home-care/basic-electricals/30164
Shoe Care,https://www.jiomart.com/c/groceries/home-care/shoe-care/139
Cleaning Tools,https://www.jiomart.com/c/groceries/home-care/cleaning-tools/30447
Kitchenware,https://www.jiomart.com/c/groceries/kitchenware/19695
Cookers & Steamers,https://www.jiomart.com/c/groceries/kitchenware/cookers-steamers/32908
Gas Stove,https://www.jiomart.com/c/groceries/kitchenware/gas-stove/30007
Pots & Pans,https://www.jiomart.com/c/groceries/kitchenware/pots-pans/32904
Containers & Storage,https://www.jiomart.com/c/groceries/kitchenware/containers-storage/30008
"Flask, Bottle & Tiffin Boxes",https://www.jiomart.com/c/groceries/kitchenware/flask-bottle-tiffin-boxes/30005
Cutting & Chopping,https://www.jiomart.com/c/groceries/kitchenware/cutting-chopping/30002
Bakeware,https://www.jiomart.com/c/groceries/kitchenware/bakeware/30006
Tableware,https://www.jiomart.com/c/groceries/tableware/30016
Dining,https://www.jiomart.com/c/groceries/tableware/dining/30195
Serveware,https://www.jiomart.com/c/groceries/tableware/serveware/30426
"Cups, Mugs & More",https://www.jiomart.com/c/groceries/tableware/cups-mugs-more/30423
Glassware & Drinkware,https://www.jiomart.com/c/groceries/tableware/glassware-drinkware/30425
Cutlery,https://www.jiomart.com/c/groceries/tableware/cutlery/32906
Barware,https://www.jiomart.com/c/groceries/tableware/barware/30017
Serving Aids,https://www.jiomart.com/c/groceries/tableware/serving-aids/32907
Table Accessories,https://www.jiomart.com/c/groceries/tableware/table-accessories/30422
"School, Office & Stationery",https://www.jiomart.com/c/groceries/school-office-stationery/29985
Notebooks & Paper Products,https://www.jiomart.com/c/groceries/school-office-stationery/notebooks-paper-products/29999
Writing Instruments & Accessories,https://www.jiomart.com/c/groceries/school-office-stationery/writing-instruments-accessories/29986
School Supplies,https://www.jiomart.com/c/groceries/school-office-stationery/school-supplies/29992
Office Supplies,https://www.jiomart.com/c/groceries/school-office-stationery/office-supplies/29993
Party Accessories,https://www.jiomart.com/c/groceries/school-office-stationery/party-accessories/29995
"Art, Craft & Hobby",https://www.jiomart.com/c/groceries/school-office-stationery/art-craft-hobby/29998
Children's Books,https://www.jiomart.com/c/groceries/school-office-stationery/children-s-books/30009
School Textbooks,https://www.jiomart.com/c/groceries/school-office-stationery/school-textbooks/30014
Disposables,https://www.jiomart.com/c/groceries/disposables/30000
Food Wrapping Essentials,https://www.jiomart.com/c/groceries/disposables/food-wrapping-essentials/32899
Home Hygiene,https://www.jiomart.com/c/groceries/disposables/home-hygiene/32900
Plates & Cutlery,https://www.jiomart.com/c/groceries/disposables/plates-cutlery/32901
Tissues & Napkins,https://www.jiomart.com/c/groceries/disposables/tissues-napkins/32902
Crafts of India,https://www.jiomart.com/c/groceries/crafts-of-india/30189
Bathroom & Laundry Accessories,https://www.jiomart.com/c/groceries/crafts-of-india/bathroom-laundry-accessories/30432
Kitchenware,https://www.jiomart.com/c/groceries/crafts-of-india/kitchenware/30190
Tableware,https://www.jiomart.com/c/groceries/crafts-of-india/tableware/30433
Pooja Needs,https://www.jiomart.com/c/groceries/crafts-of-india/pooja-needs/30434
Other Stationery,https://www.jiomart.com/c/groceries/crafts-of-india/other-stationery/30435
"Art, Craft & Hobby",https://www.jiomart.com/c/groceries/crafts-of-india/art-craft-hobby/30400
Notebooks & Paper Products,https://www.jiomart.com/c/groceries/crafts-of-india/notebooks-paper-products/30436
"Bottles, Boxes & Containers",https://www.jiomart.com/c/groceries/crafts-of-india/bottles-boxes-containers/33032
Gifts & Hampers,https://www.jiomart.com/c/groceries/gifts-hampers/30023
Tea Gifts,https://www.jiomart.com/c/groceries/gifts-hampers/tea-gifts/30024
Chocolate Gifts,https://www.jiomart.com/c/groceries/gifts-hampers/chocolate-gifts/30025
Gourmet Gifts,https://www.jiomart.com/c/groceries/gifts-hampers/gourmet-gifts/30026
Fashion Jewellery,https://www.jiomart.com/c/groceries/fashion-jewellery/32801
Imitation Jewellery,https://www.jiomart.com/c/groceries/fashion-jewellery/imitation-jewellery/32802
Handmade Jewellery,https://www.jiomart.com/c/groceries/fashion-jewellery/handmade-jewellery/32803
Home & Lifestyle,https://www.jiomart.com/c/homeandkitchen/8582
Kitchenware,https://www.jiomart.com/c/homeandkitchen/kitchenware/8737
Cookware,https://www.jiomart.com/c/homeandkitchen/kitchenware/cookware/8740
Cookers & Steamers,https://www.jiomart.com/c/homeandkitchen/kitchenware/cookers-steamers/33025
Gas Stove,https://www.jiomart.com/c/homeandkitchen/kitchenware/gas-stove/8742
Pots & Pans,https://www.jiomart.com/c/homeandkitchen/kitchenware/pots-pans/33028
Containers & Storage,https://www.jiomart.com/c/homeandkitchen/kitchenware/containers-storage/8739
"Flask, Bottle & Tiffin Boxes",https://www.jiomart.com/c/homeandkitchen/kitchenware/flask-bottle-tiffin-boxes/33027
Cutting & Chopping,https://www.jiomart.com/c/homeandkitchen/kitchenware/cutting-chopping/33026
Kitchen Tools,https://www.jiomart.com/c/homeandkitchen/kitchenware/kitchen-tools/8743
Bakeware,https://www.jiomart.com/c/homeandkitchen/kitchenware/bakeware/8738
Home Furnishing,https://www.jiomart.com/c/homeandkitchen/home-furnishing/31376
Bedding,https://www.jiomart.com/c/homeandkitchen/home-furnishing/bedding/31421
Curtains & Accessories,https://www.jiomart.com/c/homeandkitchen/home-furnishing/curtains-accessories/31415
Bathroom Linen,https://www.jiomart.com/c/homeandkitchen/home-furnishing/bathroom-linen/31431
Cushions & Cushion Covers,https://www.jiomart.com/c/homeandkitchen/home-furnishing/cushions-cushion-covers/31417
Kitchen Linens,https://www.jiomart.com/c/homeandkitchen/home-furnishing/kitchen-linens/31377
Slipcovers & Diwan Set,https://www.jiomart.com/c/homeandkitchen/home-furnishing/slipcovers-diwan-set/31386
Umbrellas & Raincoats,https://www.jiomart.com/c/homeandkitchen/home-furnishing/umbrellas-raincoats/33118
"Mats, Rugs & Carpets",https://www.jiomart.com/c/homeandkitchen/home-furnishing/mats-rugs-carpets/33109
Sports & Fitness,https://www.jiomart.com/c/homeandkitchen/sports-fitness/31510
Cycles,https://www.jiomart.com/c/homeandkitchen/sports-fitness/cycles/33319
Fitness Equipment & Accessories,https://www.jiomart.com/c/homeandkitchen/sports-fitness/fitness-equipment-accessories/33331
Outdoor,https://www.jiomart.com/c/homeandkitchen/sports-fitness/outdoor/31664
Indoor,https://www.jiomart.com/c/homeandkitchen/sports-fitness/indoor/31668
Bags & Travel Luggage,https://www.jiomart.com/c/homeandkitchen/bags-travel-luggage/31482
Trolleys & Suitcases,https://www.jiomart.com/c/homeandkitchen/bags-travel-luggage/trolleys-suitcases/31900
Backpacks & Travel Luggage,https://www.jiomart.com/c/homeandkitchen/bags-travel-luggage/backpacks-travel-luggage/31882
Travel Accessories,https://www.jiomart.com/c/homeandkitchen/bags-travel-luggage/travel-accessories/31483
