name,price,mrp,discount,weight,image,product_html_snippet
Handpicked,,,,"Handpicked
4% OFF","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/10/5df9df37-179a-4d00-92d6-eb22eae51fd0_22385_1.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/10/5df9df37-179a-4d00-92d6-eb22eae51fd0_22385_1.png"" fit=""contain"" class=""_16I1D"" alt=""The Health Factory Multigrain Bread (Zero Maida)"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_1QzFm _2DieI"" data-testid=""item-badge-container"" style=""background: rgba(158, 30, 98, 0.9);""><div aria-hidden=""true"" class=""sc-gEvEer czPfDc _1wQQE"">Handpicked</div><div class=""_3j3yl _3fp3X"" data-testid=""BADGE_ICON""><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_48,w_48/native-instamart-assets/hp/Handpicked_16x16_White_Filled@5x.png"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: cover; background: transparent;""></div></div><div class=""_3_hgi _3U-ho"" style=""background-image: url(&quot;https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_64,h_108/InstamartAssets/Bleed%20Blue/Offer%20Tag.png&quot;);""><div data-testid=""item-offer-label-discount-text"" class=""sc-gEvEer bsYAwc"">4% OFF</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">The Health Factory Multigrain Bread (Zero Maida)</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">Healthy multigrain bread made without maida</div></div>"
Ad,,,,Ad,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/8/1/6e7f473e-22e2-46bd-a764-f3086af113fe_NPI-015160_1_20250801_142107.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/8/1/6e7f473e-22e2-46bd-a764-f3086af113fe_NPI-015160_1_20250801_142107.png"" fit=""contain"" class=""_16I1D"" alt=""Protein Chef High Protein Whole Wheat Bread (Zero Maida, Brown Bread)"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_1-Flp"" data-testid=""list-wrapper""><div class=""sc-gEvEer bfIBrr _35ZCT _1uGqi"" aria-hidden=""true"" data-testid=""badge-wrapper"">Ad</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Protein Chef High Protein Whole Wheat Bread (Zero Maida, Brown Bread)</div></div>"
4 MINS,,,,,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/28/ab00d649-cff2-4b18-8425-4c4bc14b0956_752_1.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/28/ab00d649-cff2-4b18-8425-4c4bc14b0956_752_1.png"" fit=""contain"" class=""_16I1D"" alt=""Britannia Milk White Bread"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Britannia Milk White Bread</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">White bread made with milk</div></div>"
3% OFF,,,,3% OFF,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/10/5d7619d1-afa8-4be5-b7d1-273cf6aef32e_93344_1.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/10/10/5d7619d1-afa8-4be5-b7d1-273cf6aef32e_93344_1.png"" fit=""contain"" class=""_16I1D"" alt=""The Health Factory 100% Whole Wheat Bread (Zero Maida)"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_3_hgi _3U-ho"" style=""background-image: url(&quot;https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_64,h_108/InstamartAssets/Bleed%20Blue/Offer%20Tag.png&quot;);""><div data-testid=""item-offer-label-discount-text"" class=""sc-gEvEer bsYAwc"">3% OFF</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">The Health Factory 100% Whole Wheat Bread (Zero Maida)</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">High Fibre | No Preservatives | No Colours | No Palm Oil</div></div>"
Ad,,,,Ad,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/8/4/6b557bbb-d660-4fe7-9ef9-d862abba48b5_NPI-015161_1_20250804_122342.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/ciw/2025/8/4/6b557bbb-d660-4fe7-9ef9-d862abba48b5_NPI-015161_1_20250804_122342.png"" fit=""contain"" class=""_16I1D"" alt=""Protein Chef High Protein Pav Bun (Zero Maida, Multigrain)"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_1-Flp"" data-testid=""list-wrapper""><div class=""sc-gEvEer bfIBrr _35ZCT _1uGqi"" aria-hidden=""true"" data-testid=""badge-wrapper"">Ad</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Protein Chef High Protein Pav Bun (Zero Maida, Multigrain)</div></div>"
Handpicked,,,,"Handpicked
11% OFF","https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/7/15/7c9ce1c3-892b-41d0-be64-d9b361443295_breadandgourmetbread_74FYN2WUXO_MN.jpg","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/7/15/7c9ce1c3-892b-41d0-be64-d9b361443295_breadandgourmetbread_74FYN2WUXO_MN.jpg"" fit=""contain"" class=""_16I1D"" alt=""Lakeview Milkbar Cheese Garlic Bread"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_1QzFm _2DieI"" data-testid=""item-badge-container"" style=""background: rgba(158, 30, 98, 0.9);""><div aria-hidden=""true"" class=""sc-gEvEer czPfDc _1wQQE"">Handpicked</div><div class=""_3j3yl _3fp3X"" data-testid=""BADGE_ICON""><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_48,w_48/native-instamart-assets/hp/Handpicked_16x16_White_Filled@5x.png"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: cover; background: transparent;""></div></div><div class=""_3_hgi _3U-ho"" style=""background-image: url(&quot;https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_64,h_108/InstamartAssets/Bleed%20Blue/Offer%20Tag.png&quot;);""><div data-testid=""item-offer-label-discount-text"" class=""sc-gEvEer bsYAwc"">11% OFF</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Lakeview Milkbar Cheese Garlic Bread</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">Cheesy, garlicky goodness in every slice</div></div>"
18% OFF,,,,18% OFF,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/7/18/9129aee6-2c4e-4d42-b127-9bb9acfb28b5_1.Composite.jpg","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/7/18/9129aee6-2c4e-4d42-b127-9bb9acfb28b5_1.Composite.jpg"" fit=""contain"" class=""_16I1D"" alt=""The Baker's Dozen Zero Maida Milk Bread"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_3_hgi _3U-ho"" style=""background-image: url(&quot;https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_64,h_108/InstamartAssets/Bleed%20Blue/Offer%20Tag.png&quot;);""><div data-testid=""item-offer-label-discount-text"" class=""sc-gEvEer bsYAwc"">18% OFF</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">The Baker's Dozen Zero Maida Milk Bread</div></div>"
4 MINS,,,,,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/26/dfb35d29-a41e-4196-bdc3-7f7b6d84b347_708_1.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/10/26/dfb35d29-a41e-4196-bdc3-7f7b6d84b347_708_1.png"" fit=""contain"" class=""_16I1D"" alt=""Modern Supreme Sandwich Bread"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Modern Supreme Sandwich Bread</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">Classic sandwich bread from Modern</div></div>"
Handpicked,,,,Handpicked,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/3/28/0cdf78e4-5a37-4b6b-979e-0136da472be6_breadandgourmetbread_UD41624Y4I_AL4.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2024/3/28/0cdf78e4-5a37-4b6b-979e-0136da472be6_breadandgourmetbread_UD41624Y4I_AL4.png"" fit=""contain"" class=""_16I1D"" alt=""Iyengar's Bakery Milk Bread (Freshly Baked)"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_1QzFm _2DieI"" data-testid=""item-badge-container"" style=""background: rgba(158, 30, 98, 0.9);""><div aria-hidden=""true"" class=""sc-gEvEer czPfDc _1wQQE"">Handpicked</div><div class=""_3j3yl _3fp3X"" data-testid=""BADGE_ICON""><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_48,w_48/native-instamart-assets/hp/Handpicked_16x16_White_Filled@5x.png"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: cover; background: transparent;""></div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Iyengar's Bakery Milk Bread (Freshly Baked)</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">Original Iyengar's Bakery best seller</div></div>"
10% OFF,,,,10% OFF,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/27/7a4f06ea-3f27-4510-a63c-5339a24a6f8b_706_1.png","<div data-testid=""item-collection-card-full""><div class=""Qp6z9 _2GcSU"" aria-hidden=""true""><div class=""_1r-gK""><div class=""_2fz9L _39H2t"" role=""button"" aria-label=""Add item to cart"" data-testid=""buttonpair-add""><svg aria-hidden=""true"" height=""20"" width=""20"" class=""sc-aXZVg cUeNKf""><use xlink:href=""/core/sprite-Dn8Dml4h.svg#addFilled20""></use></svg></div></div><img src=""https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,h_544,w_504/NI_CATALOG/IMAGES/CIW/2025/3/27/7a4f06ea-3f27-4510-a63c-5339a24a6f8b_706_1.png"" fit=""contain"" class=""_16I1D"" alt=""Modern Multigrain Bread- 13 Grains &amp; Seeds (Zero Maida)"" loading=""lazy"" style=""width: 100%; height: 100%; object-fit: contain; background: rgb(255, 255, 255);""><div class=""_3_hgi _3U-ho"" style=""background-image: url(&quot;https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_64,h_108/InstamartAssets/Bleed%20Blue/Offer%20Tag.png&quot;);""><div data-testid=""item-offer-label-discount-text"" class=""sc-gEvEer bsYAwc"">10% OFF</div></div></div><div class=""_2zIRo _3CyJz"" aria-label=""Delivery in 4 MINS""><div class=""sc-gEvEer ePxHTM GOJ8s _1y_Uf"" aria-hidden=""true"">4 MINS</div></div><div class=""sc-gEvEer bvSpbA _1lbNR"">Modern Multigrain Bread- 13 Grains &amp; Seeds (Zero Maida)</div><div class=""sc-gEvEer diZRny _3bM-V"" aria-hidden=""true"">Zero maida multigrain bread with 13 grains &amp; seeds</div></div>"
