Categories,URL
,
GROCERY & KITCHEN,
Fresh Vegetables and Fruits,
Fresh vegetables,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&taxonomyType=Speciality+taxonomy+1
Leafy and Seasonings,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adce8fa2cbf200012c57cd&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Exotic Vegetables,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adbf76c38ee700010bf802&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Cuts & Sprouts,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67b80af2b3a94c000165d2bf&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Pooja and Festive,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adc797c38ee700010bf804&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Certified Organics,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67b807a8b3a94c000165d2be&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Combos,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adbf55c51cb000011dcb20&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Fresh Fruits,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adbfc9c51cb000011dcb21&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Exotic Fruits,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67adbf9dc38ee700010bf803&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Bouquet & Plants,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67add09ac38ee700010bf807&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Cut Fruits and Juices,https://www.swiggy.com/instamart/category-listing?categoryName=Fresh+Vegetables&custom_back=true&filterId=67b809f180886b0001337f79&storeId=1135721&taxonomyType=Speciality+taxonomy+1
"Dairy, Bread and Eggs",
Bestsellers,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&taxonomyType=Speciality+taxonomy+1
Bread and Buns,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99cdf4501a50001f7c7e4&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Milk,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99dcc62ab1200019a75c1&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Eggs,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d554501a50001f7c7e6&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Curd and Yogurts,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d28c0d80a0001b0cd49&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Paneer and Cream,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99e02c0d80a0001b0cd4a&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Cheese,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d084501a50001f7c7e5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Butter,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99cf4839647000132e227&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Batters,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67c2dfc907feb5000170c2c5&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Indian Breads,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d6d4501a50001f7c7e7&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Dairy Alternatives,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99d3f839647000132e228&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Lassi and Buttermilk,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99db462ab1200019a75c0&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Milkshakes and More,https://www.swiggy.com/instamart/category-listing?categoryName=Dairy%2C+Bread+and+Eggs&custom_back=true&filterId=67a99de662ab1200019a75c2&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Cereals and Breakfast,
Crazy Deals,https://www.swiggy.com/instamart/category-listing?categoryName=Cereals+and+Breakfast&custom_back=true&taxonomyType=Speciality+taxonomy+1
Muesli & Granola,https://www.swiggy.com/instamart/category-listing?categoryName=Cereals+and+Breakfast&custom_back=true&filterId=67a9ba14839647000132e229&storeId=1135721&taxonomyType=Speciality+taxonomy+1
Oats,https://www.swiggy.com/instamart/category-listing?categoryName=Cereals+and+Breakfast&custom_back=true&filterId=67a9ba4662ab1200019a75c4&storeId=1135721&taxonomyType=Speciality+taxonomy+1
